# Secciones según ArcelorMittal
# -----------------------------
#
# 2016-02-01 Pedro Biel
#
# http://sections.arcelormittal.com/products-services/products-ranges.html
#
# 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
#
# Perfil,nominal,g,h,b,tw,tf,r,A,hi,d,O,pmin,pmax,AL,AG,Iy,Wely,Wply,iy,Avz,Iz,Welz,Wplz,iz,ss,It,Iw
# --,--,kN/m,mm,mm,mm,mm,mm,cm²,mm,mm,--,mm,mm,m²/m,m²/t,cm4,cm³,cm³,cm,cm²,cm4,cm³,cm³,cm,mm,cm6,cm6
#
HEB,140,0.337,140,140,7,12,12,43,116,92,M16,66,76,0.805,23.88,1509,215.6,245.4,5.93,13.08,549.7,78.52,119.8,3.58,45.06,20.06,22480
HEC,140,0.482,150,143,10,17,12,61.5,116,92,M16,69,79,0.831,17.22,2330,310.6,363.8,6.16,18.62,830.3,116.1,177.7,3.68,58.06,55.68,36640
HEM,140,0.632,160,146,13,22,12,80.6,116,92,M16,72,82,0.857,13.56,3291,411.4,493.8,6.39,24.46,1144,156.8,240.5,3.77,71.06,120,54330
HEAA,160,0.238,148,160,4.5,7,15,30.4,134,104,M20,76,84,0.901,37.81,1283,173.4,190.4,6.5,10.38,478.7,59.84,91.36,3.97,36.07,6.33,23750
HEA,160,0.304,152,160,6,9,15,38.8,134,104,M20,78,84,0.906,29.78,1673,220.1,245.1,6.57,13.21,615.6,76.95,117.6,3.98,41.57,12.19,31410
HEB,160,0.426,160,160,8,13,15,54.3,134,104,M20,80,84,0.918,21.56,2492,311.5,354,6.78,17.59,889.2,111.2,170,4.05,51.57,31.24,47940
HEC,160,0.592,170,163,11,18,15,75.4,134,104,M20,84,88,0.944,15.95,3704,435.8,507.6,7.01,24.05,1302,159.8,244.9,4.16,64.57,79.21,75040
HEM,160,0.762,180,166,14,23,15,97.1,134,104,M20,86,90,0.97,12.74,5098,566.5,674.6,7.25,30.81,1759,211.9,325.5,4.26,77.57,162.4,108100
HEAA,180,0.287,167,180,5,7.5,15,36.5,152,122,M24,84,92,1.018,35.51,1967,235.6,258.2,7.34,12.16,730,81.11,123.6,4.47,37.57,8.33,46360
HEA,180,0.355,171,180,6,9.5,15,45.3,152,122,M24,86,92,1.024,28.83,2510,293.6,324.9,7.45,14.47,924.6,102.7,156.5,4.52,42.57,14.8,60210
HEB,180,0.512,180,180,8.5,14,15,65.3,152,122,M24,88,92,1.037,20.25,3831,425.7,481.4,7.66,20.24,1363,151.4,231,4.57,54.07,42.16,93750
HEC,180,0.698,190,183,11.5,19,15,89,152,122,M27,92,96,1.063,15.22,5543,583.5,675,7.89,27.3,1944,212.5,324.9,4.68,67.07,102.1,141900
HEM,180,0.889,200,186,14.5,24,15,113.3,152,122,M24,94,98,1.089,12.25,7483,748.3,883.4,8.13,34.65,2580,277.4,425.2,4.77,80.07,203.3,199300
HEAA,200,0.346,186,200,5.5,8,18,44.1,170,134,M27,96,100,1.13,32.62,2944,316.6,347.1,8.17,15.45,1068,106.8,163.2,4.92,42.59,12.69,84490
HEA,200,0.423,190,200,6.5,10,18,53.8,170,134,M27,98,100,1.136,26.89,3692,388.6,429.5,8.28,18.08,1336,133.6,203.8,4.98,47.59,20.98,108000
HEB,200,0.613,200,200,9,15,18,78.1,170,134,M27,100,100,1.151,18.78,5696,569.6,642.5,8.54,24.83,2003,200.3,305.8,5.07,60.09,59.28,171100
HEC,200,0.819,210,203,12,20,18,104.4,170,134,M27,104,104,1.177,14.36,8029,764.7,880.6,8.77,32.78,2794,275.3,421,5.17,73.09,135.1,251700
HEM,200,1.03,220,206,15,25,18,131.3,170,134,M27,106,106,1.203,11.67,10640,967.4,1135,9,41.03,3651,354.5,543.2,5.27,86.09,259.4,346300
HEAA,220,0.404,205,220,6,8.5,18,51.5,188,152,M27,98,118,1.247,30.87,4170,406.9,445.5,9,17.63,1510,137.3,209.3,5.42,44.09,15.93,145600
HEA,220,0.505,210,220,7,11,18,64.3,188,152,M27,98,118,1.255,24.85,5410,515.2,568.5,9.17,20.67,1955,177.7,270.6,5.51,50.09,28.46,193300
HEB,220,0.715,220,220,9.5,16,18,91,188,152,M27,100,118,1.27,17.77,8091,735.5,827,9.43,27.92,2843,258.5,393.9,5.59,62.59,76.57,295400
HEC,220,0.941,230,223,12.5,21,18,119.9,188,152,M27,104,122,1.296,13.77,11180,972.2,1114,9.65,36.47,3888,348.7,532.4,5.69,75.59,168.2,423900
HEM,220,1.17,240,226,15.5,26,18,149.4,188,152,M27,108,124,1.322,11.27,14600,1217,1419,9.89,45.31,5012,443.5,678.6,5.79,88.59,315.3,572700
HEAA,240,0.474,224,240,6.5,9,21,60.4,206,164,M27,104,138,1.359,28.67,5835,521,570.6,9.83,21.54,2077,173.1,264.4,5.87,49.1,22.98,239600
HEA,240,0.603,230,240,7.5,12,21,76.8,206,164,M27,104,138,1.369,22.7,7763,675.1,744.6,10.05,25.18,2769,230.7,351.7,6,56.1,41.55,328500
HEB,240,0.832,240,240,10,17,21,106,206,164,M27,108,138,1.384,16.63,11260,938.3,1053,10.31,33.23,3923,326.9,498.4,6.08,68.6,102.7,486900
