# Secciones según ArcelorMittal
# -----------------------------
#
# 2016-02-01 Pedro Biel
#
# http://sections.arcelormittal.com/products-services/products-ranges.html
#
# 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
#
# Perfil,nominal,g,h,b,tw,tf,r,A,hi,d,O,pmin,pmax,AL,AG,Iy,Wely,Wply,iy,Avz,Iz,Welz,Wplz,iz,ss,It,Iw
# --,--,kN/m,mm,mm,mm,mm,mm,cm²,mm,mm,--,mm,mm,m²/m,m²/t,cm4,cm³,cm³,cm,cm²,cm4,cm³,cm³,cm,mm,cm6,cm6
#
UB,1100x400x343,3.43,1090,400,18,31,30,440.7,1028,968,M27,128,310,3.692,10.67,878360,16110,18280,44.64,216.9,33130,1657,2575,8.67,115.1,1105,92910000
UB,1100x400x390,3.9,1100,400,20,36,30,501.3,1028,968,M27,130,310,3.708,9.423,1016300,18480,21000,45.02,242.1,38490,1924,2995,8.76,127.1,1649,108900000
UB,1100x400x433,4.33,1108,402,22,40,30,555.4,1028,968,M27,132,312,3.728,8.55,1136500,20510,23380,45.23,266.6,43430,2160,3370,8.85,137.1,2229,123800000
UB,1100x400x499,4.99,1118,405,26,45,30,639.5,1028,968,M27,136,315,3.752,7.475,1305000,23340,26820,45.17,313.7,50010,2469,3879,8.84,151.1,3253,143900000
UB,1100x400x548,5.48,1128,407,28,50,30,702.5,1028,968,M27,138,317,3.776,6.848,1456600,25820,29730,45.53,339.5,56410,2771,4358,8.96,163.1,4344,163800000
UB,1100x400x607,6.07,1138,410,31,55,30,777.4,1028,968,M27,141,320,3.802,6.231,1624100,28540,33000,45.7,376.4,63470,3096,4886,9.03,176.1,5789,186100000
UC,152x152x23,0.23,152.4,152.2,5.8,6.8,7.6,29.25,138.8,123.6,M20,72,76,0.889,38.72,1250,164,182,6.54,9.97,399.9,52.55,80.16,3.7,28.3,4.86,21180
UC,152x152x30,0.3,157.6,152.9,6.5,9.4,7.6,38.26,138.8,123.6,M20,72,76,0.901,29.99,1748,221.8,247.7,6.76,11.56,560.5,73.31,111.6,3.83,34.2,10.67,30750
UC,152x152x37,0.37,161.8,154.4,8,11.5,7.6,47.11,138.8,123.6,M20,74,78,0.912,24.66,2210,273.2,308.8,6.85,14.27,706.2,91.48,139.6,3.87,39.9,19.49,39840
UC,203x203x46,0.461,203.2,203.6,7.2,11,10.2,58.73,181.2,160.8,M27,90,104,1.189,25.79,4568,449.6,497.4,8.82,16.98,1548,152.1,230.9,5.13,41.2,22.34,142900
UC,203x203x52,0.52,206.2,204.3,7.9,12.5,10.2,66.28,181.2,160.8,M27,90,104,1.196,22.99,5259,510.1,567.4,8.91,18.75,1778,174,264.2,5.18,44.9,31.97,166600
UC,203x203x60,0.6,209.6,205.8,9.4,14.2,10.2,76.37,181.2,160.8,M27,90,106,1.206,20.12,6125,584.4,656.1,8.96,22.16,2065,200.6,305.3,5.2,49.8,47.78,196900
UC,203x203x71,0.71,215.8,206.4,10,17.3,10.2,90.43,181.2,160.8,M27,92,106,1.22,17.18,7618,706,798.8,9.18,24.27,2537,245.9,373.7,5.3,56.6,80.63,249700
UC,203x203x86,0.861,222.2,209.1,12.7,20.5,10.2,109.6,181.2,160.8,M27,94,110,1.238,14.38,9449,850.5,976.7,9.28,30.69,3127,299.1,456.2,5.34,65.7,138.3,317700
UC,203x203x100,1,229,210,14.5,23.7,10,126.7,181.1,161.1,M27,94,110,1.252,12.58,11330,989.1,1149,9.45,35.33,3663,348.9,532.9,5.38,73.6,211.3,385500
UC,254x254x73,0.731,254.1,254.6,8.6,14.2,12.7,93.1,225.7,200.3,M27,100,152,1.488,20.35,11410,897.9,992.1,11.07,25.62,3908,307,465.4,6.48,51.9,57.74,562000
UC,254x254x89,0.889,260.3,256.3,10.3,17.3,12.7,113.3,225.7,200.3,M27,102,154,1.503,16.9,14270,1096,1224,11.22,30.81,4857,379,575.3,6.55,59.8,102.7,716600
UC,254x254x107,1.071,266.7,258.8,12.8,20.5,12.7,136.4,225.7,200.3,M27,104,156,1.521,14.21,17510,1313,1484,11.33,38.11,5928,458.1,697,6.59,68.7,173.9,897500
UC,254x254x132,1.32,276.3,261.3,15.3,25.3,12.7,168.1,225.7,200.3,M27,108,160,1.545,11.71,22530,1631,1869,11.58,46.21,7531,576.4,878.4,6.69,80.8,321.5,1185000
UC,254x254x167,1.671,289.1,265.2,19.2,31.7,12.7,212.9,225.7,200.3,M27,112,164,1.579,9.449,30000,2075,2424,11.87,58.86,9870,744.3,1137,6.81,97.5,633.8,1632000
UC,305x305x97,0.969,307.9,305.3,9.9,15.4,15.2,123.4,277.1,246.7,M27,102,204,1.791,18.48,22250,1445,1592,13.42,35.62,7308,478.7,726.1,7.69,58.5,91.8,1562000
UC,305x305x118,1.179,314.5,307.4,12,18.7,15.2,150.2,277.1,246.7,M27,104,206,1.809,15.34,27670,1760,1958,13.57,43.16,9059,589.4,895.4,7.77,67.2,162.3,1980000
UC,305x305x137,1.369,320.5,309.2,13.8,21.7,15.2,174.4,277.1,246.7,M27,106,208,1.824,13.32,32810,2048,2297,13.72,49.81,10700,692.1,1053,7.83,75,251.1,2386000
UC,305x305x158,1.581,327.1,311.2,15.8,25,15.2,201.4,277.1,246.7,M27,108,210,1.841,11.65,38750,2369,2680,13.87,57.32,12570,807.8,1230,7.9,83.6,381.6,2865000
UC,305x305x198,1.981,339.9,314.5,19.1,31.4,15.2,252.4,277.1,246.7,M27,112,212,1.874,9.455,50900,2995,3440,14.2,70.45,16300,1037,1581,8.04,99.7,741.2,3873000
UC,305x305x240,2.4,352.5,318.4,23,37.7,15.2,305.8,277.1,246.7,M27,116,216,1.907,7.942,64200,3643,4247,14.49,85.85,20310,1276,1951,8.15,116.2,1287,5025000
UC,305x305x283,2.829,365.3,322.2,26.8,44.1,15.2,360.4,277.1,246.7,M27,120,218,1.94,6.856,78870,4318,5105,14.79,101.5,24630,1529,2342,8.27,132.8,2062,6341000
UC,356x368x129,1.29,355.6,368.6,10.4,17.5,15.2,164.3,320.6,290.2,M27,98,262,2.139,16.58,40250,2264,2479,15.65,42.47,14610,792.8,1199,9.43,63.2,152.7,4174000
UC,356x368x153,1.529,362,370.5,12.3,20.7,15.2,194.8,320.6,290.2,M27,100,264,2.155,14.09,48590,2684,2965,15.79,50.26,17550,947.5,1435,9.49,71.5,251.2,5110000
UC,356x368x177,1.77,368.2,372.6,14.4,23.8,15.2,225.5,320.6,290.2,M27,102,266,2.172,12.27,57120,3103,3455,15.91,58.81,20530,1102,1671,9.54,79.8,383.5,6084000
UC,356x368x202,2.019,374.6,374.7,16.5,27,15.2,257.2,320.6,290.2,M27,104,268,2.189,10.84,66260,3538,3972,16.05,67.55,23690,1264,1920,9.6,88.3,561.4,7151000
UC,356x406x235,2.351,381,394.8,18.4,30.2,15.2,299,320.6,290.2,M27,106,288,2.278,9.693,79080,4151,4687,16.25,75.71,30990,1570,2383,10.2,96.6,817.7,9529000
UC,356x406x287,2.871,393.6,399,22.6,36.5,15.2,365.7,320.6,290.2,M27,112,294,2.312,8.053,99880,5075,5812,16.53,93.78,38680,1939,2949,10.28,113.4,1455,12320000
UC,356x406x340,3.399,406.4,403,26.6,42.9,15.2,433,320.6,290.2,M27,118,292,2.346,6.9,122500,6031,6999,16.82,111.7,46850,2325,3544,10.4,130.2,2370,15460000
UC,356x406x393,3.93,419,407,30.6,49.2,15.2,500.6,320.6,290.2,M27,122,296,2.379,6.053,146600,6998,8222,17.11,130.1,55370,2721,4154,10.52,146.8,3592,18900000
UC,356x406x467,4.67,436.6,412.2,35.8,58,15.2,594.9,320.6,290.2,M27,128,300,2.424,5.191,183000,8383,10000,17.54,155.2,67830,3291,5034,10.68,169.6,5896,24260000
UC,356x406x509,5.09,446,416,39.1,62.7,15,649,320,290,M27,128,310,2.452,4.813,204500,9172,11030,17.75,170.6,75400,3625,5552,10.78,182.1,7513,27630000
UC,356x406x551,5.51,455.6,418.5,42.1,67.5,15.2,701.9,320.6,290.2,M27,134,306,2.475,4.492,226900,9962,12080,17.98,185.9,82670,3951,6058,10.85,194.9,9402,31050000
UC,356x406x592,5.92,465,421,45,72.3,15,754.9,320,290,M27,134,316,2.498,4.216,250200,10760,13140,18.2,200.3,90170,4284,6574,10.93,207.2,11560,34670000
UC,356x406x634,6.339,474.6,424,47.6,77,15.2,807.5,320.6,290.2,M27,140,312,2.524,3.981,274800,11580,14240,18.45,214.6,98130,4629,7108,11.02,219.4,13990,38660000
UC,356x406x677,6.77,483,428,51.2,81.5,15,863.4,320,290,M27,144,316,2.55,3.762,299500,12400,15350,18.62,231.9,106900,4994,7680,11.13,231.8,16790,42920000
UC,356x406x744,7.44,498,432,55.6,88.9,15,948.1,320,290,M27,148,320,2.587,3.476,342100,13740,17170,19,256.1,119900,5552,8549,11.25,251,21840,49980000
UC,356x406x818,8.18,514,437,60.5,97,15,1043,320,290,M27,154,326,2.629,3.12,392200,15260,19260,19.39,283.3,135500,6203,9561,11.4,272.1,28510,58650000
UC,356x406x900,9,531,442,65.9,106,15,1149,320,290,M27,158,330,2.672,2.962,450200,16960,21620,19.79,313.8,153300,6938,10710,11.55,295.5,37350,68890000
UC,356x406x990,9.9,550,448,71.9,115,15,1262,320,290,M27,164,336,2.722,2.747,518900,18870,24280,20.27,349.2,173400,7739,11960,11.72,319.5,48210,81530000
UC,356x406x1086,10.86,569,454,78,125,15,1386,320,290,M27,170,342,2.772,2.548,595700,20940,27210,20.73,385.8,196200,8645,13380,11.9,345.6,62290,96080000
UC,356x406x1202,12.02,580,471,95,130,15.4,1530,320,290,M27,188,360,2.828,2.353,663600,22880,30020,20.82,469.6,228700,9712,15150,12.22,373,79230,114600000
UC,356x406x1299,12.99,600,476,100,140,15.4,1650,320,290,M27,192,364,2.878,2.215,754600,25150,33250,21.35,505.2,254400,10690,16670,12.4,398,98140,133100000
UBP,203x203x45,0.449,200.2,205.9,9.5,9.5,10.2,57.23,181.2,160.8,M27,90,106,1.187,26.43,4100,409.6,458.9,8.46,20.95,1384,134.4,206.1,4.92,40.45,20.8,125700
UBP,203x203x54,0.539,204,207.7,11.3,11.4,10.2,68.72,181.2,160.8,M27,94,108,1.199,22.22,5027,492.8,556.7,8.55,24.98,1705,164.2,252.4,4.98,46.05,34.97,157900
UBP,254x254x63,0.63,247.1,256.6,10.6,10.7,12.7,80.22,225.7,200.3,M27,102,154,1.478,23.46,8860,717.2,799.3,10.51,29.16,3016,235.1,359.7,6.13,46.88,37.2,421000
UBP,254x254x71,0.71,249.7,258,12,12,12.7,90.39,225.7,200.3,M27,104,156,1.486,20.94,10070,806.7,904,10.56,32.96,3439,266.6,408.7,6.17,50.88,52.27,485200
UBP,254x254x85,0.851,254.3,260.4,14.4,14.3,12.7,108.4,225.7,200.3,M27,106,158,1.5,17.63,12280,966.1,1092,10.65,39.58,4215,323.8,497.9,6.24,57.88,87.82,606000
UBP,305x305x79,0.789,299.3,306.4,11,11.1,15.2,100.5,277.1,246.7,M27,102,204,1.776,22.52,16440,1099,1218,12.79,37.06,5326,347.7,531.2,7.28,51.01,51.37,1105000
UBP,305x305x88,0.88,301.7,307.8,12.4,12.3,15.2,112.1,277.1,246.7,M27,104,206,1.784,20.28,18420,1221,1360,12.82,41.61,5984,388.9,595.2,7.31,54.81,70.05,1252000
UBP,305x305x95,0.949,303.7,308.7,13.3,13.3,15.2,120.9,277.1,246.7,M27,106,206,1.79,18.85,20040,1320,1474,12.87,44.65,6529,423,648,7.35,57.71,86.69,1375000
UBP,305x305x110,1.1,307.9,310.7,15.3,15.4,15.2,140.1,277.1,246.7,M27,108,208,1.802,16.39,23560,1531,1720,12.97,51.42,7709,496.2,761.7,7.42,63.91,131.4,1647000
UBP,305x305x126,1.261,312.3,312.9,17.5,17.6,15.2,160.6,277.1,246.7,M27,110,210,1.815,14.4,27410,1755,1986,13.06,58.91,9002,575.4,885.2,7.49,70.51,194.3,1951000
UBP,305x305x149,1.491,318.5,316,20.6,20.7,15.2,189.9,277.1,246.7,M27,114,214,1.834,12.3,33070,2076,2370,13.2,69.62,10910,690.5,1066,7.58,79.81,314.2,2414000
UBP,305x305x186,1.86,328.3,320.9,25.5,25.6,15.2,236.9,277.1,246.7,M27,118,218,1.863,10.02,42610,2596,3003,13.41,86.95,14140,881.5,1366,7.73,94.51,593.7,3230000
UBP,305x305x223,2.229,337.9,325.7,30.3,30.4,15.2,284,277.1,246.7,M27,124,220,1.892,8.487,52700,3119,3653,13.62,104.4,17580,1079,1680,7.87,108.9,998.4,4138000
UBP,356x368x109,1.089,346.4,371,12.8,12.9,15.2,138.7,320.6,290.2,M27,102,266,2.125,19.51,30630,1769,1956,14.86,48.59,10990,592.3,902.9,8.9,56.41,90.73,3053000
UBP,356x368x133,1.33,352,373.8,15.6,15.7,15.2,169.4,320.6,290.2,M27,104,268,2.142,16.11,37980,2158,2406,14.98,59.22,13680,731.9,1119,8.99,64.81,160.7,3864000
UBP,356x368x152,1.52,356.4,376,17.8,17.9,15.2,193.7,320.6,290.2,M27,106,270,2.155,14.18,43970,2468,2767,15.07,67.68,15880,844.5,1293,9.05,71.41,236.4,4543000
UBP,356x368x174,1.739,361.4,378.5,20.3,20.4,15.2,221.5,320.6,290.2,M27,110,272,2.17,12.48,51010,2823,3186,15.18,77.41,18460,975.6,1497,9.13,78.91,348.5,5360000
W,100x100x19.3,0.193,106,103,7.1,8.8,6,24.71,88.1,76.1,0,0,0,0.599,30.9,475.9,89.79,103.3,4.39,8.27,160.6,31.19,47.94,2.55,31.73,6.52,3790
W,130x130x23.8,0.238,127,127,6.1,9.1,8,30.3,109,93,M12,60,70,0.736,30.95,885.5,139.5,157.2,5.41,9.2,311,48.98,74.66,3.2,33.67,8.1,10800
W,130x130x28.1,0.281,131,128,6.9,10.9,8,35.99,109,93,M12,62,70,0.746,26.42,1099,167.7,190.9,5.53,10.53,381.4,59.6,90.86,3.26,38.03,13.33,13740
W,150x100x13.5,0.135,150,100,4.3,5.5,6,17.29,138.9,126.9,0,0,0,0.681,50.19,685.5,91.4,102.4,6.29,7.21,91.8,18.36,28.26,2.3,22.35,1.74,4790
W,150x100x18.0,0.18,153,102,5.8,7.1,6,22.84,138.9,126.9,0,0,0,0.692,38.6,915.9,122.1,138.6,6.33,9.69,125.9,25.37,39.29,2.36,27.47,3.86,6680
W,150x100x24.0,0.24,160,102,6.6,10.3,6,30.52,138.9,126.9,0,0,0,0.704,29.4,1342,167.8,191.5,6.63,11.43,182.6,35.8,55.24,2.45,34.23,9.35,10210
W,150x150x22.5,0.225,152,152,5.8,6.6,6,28.42,138.9,126.9,M16,70,82,0.89,39.89,1206,158.6,176.1,6.51,9.59,386.6,50.87,77.56,3.68,26.07,4.34,20420
W,150x150x29.8,0.298,157,153,6.6,9.3,6,37.9,138.9,126.9,M16,72,84,0.902,30.33,1714,218.4,243.9,6.73,11.17,555.5,72.62,110.5,3.83,32.23,10.16,30280
W,150x150x37.1,0.371,162,154,8.1,11.6,6,47.28,138.9,126.9,M16,74,84,0.913,24.61,2220,274.1,309.9,6.85,13.93,706.8,91.79,140,3.86,38.36,19.51,39930
W,200x100x15.0,0.15,200,100,4.3,5.2,8,19.1,190,174,0,0,0,0.778,51.86,1280,128,145.2,8.18,9.8,86.89,17.38,27.1,2.13,24.09,1.93,8220
W,200x100x19.3,0.193,203,102,5.8,6.5,8,24.83,190,174,0,0,0,0.789,40.46,1662,163.7,188.1,8.17,13.06,115.4,22.63,35.69,2.15,28.21,3.99,11100
W,200x100x22.5,0.225,206,102,6.2,8,8,28.65,190,174,0,0,0,0.794,35.3,2004,194.5,222.8,8.36,14.14,142,27.85,43.72,2.22,31.59,5.97,13870
W,200x135x21.4,0.214,203,134,5,6.4,8,27.21,190,174,M12,62,76,0.918,42.99,1993,196.3,219,8.56,11.4,257,38.35,58.88,3.07,27.17,3.76,24800
W,200x135x26.6,0.266,207,133,5.8,8.4,8,33.92,190,174,M12,62,76,0.921,34.57,2587,250,279.8,8.72,13.49,329.8,49.6,76.17,3.11,32.01,7.35,32480
W,200x135x31.3,0.313,210,134,6.4,10.2,8,40.02,190,174,M12,64,76,0.929,29.59,3139,298.9,335.3,8.87,14.87,409.6,61.13,93.76,3.2,36.12,12.04,40820
W,200x165x35.9,0.359,201,165,6.2,10.2,10,45.72,181.1,161.1,M16,78,96,1.032,28.77,3438,342.1,379.4,8.67,14.77,764.3,92.64,141.1,4.09,38.34,14.56,69500
W,200x165x41.7,0.417,205,166,7.2,11.8,10,53.1,181.1,161.1,M16,80,96,1.042,25.01,4088,398.8,445.6,8.77,17.21,900.5,108.5,165.5,4.12,42.56,22.39,83950
W,200x200x46.1,0.461,203,203,7.2,11,10,58.55,181.1,161.1,M24,94,110,1.186,25.81,4545,447.8,495.6,8.81,16.96,1535,151.2,229.5,5.12,40.96,22.27,141300
W,200x200x52,0.52,206,204,7.9,12.6,10,66.55,181.1,161.1,M24,94,110,1.195,22.88,5268,511.5,569,8.9,18.6,1784,174.9,265.5,5.18,44.79,32.41,166700
W,200x200x59,0.59,210,205,9.1,14.2,10,75.6,181.1,161.1,M24,96,112,1.205,20.3,6113,582.2,652.9,8.99,21.59,2040,199.1,302.8,5.19,49.26,46.86,195400
W,200x200x71,0.71,216,206,10.2,17.4,10,91.03,181.1,161.1,M24,98,112,1.218,17.05,7658,709,802.8,9.18,24.52,2537,246.3,374.5,5.28,56.68,82.02,250000
W,200x200x86,0.86,222,209,13,20.6,10,110.5,181.1,161.1,M24,100,116,1.237,14.26,9467,852.9,980.5,9.26,31.06,3138,300.3,458.2,5.33,65.87,140.8,317800
W,200x200x100,1,229,210,14.5,23.7,10,126.7,181.1,161.1,M24,102,116,1.252,12.58,11330,989.1,1149,9.45,35.33,3663,348.9,532.9,5.38,73.6,211.3,385500
W,250x100x17.9,0.179,251,101,4.8,5.3,8,22.79,240,224,0,0,0,0.883,49.33,2252,179.5,207.8,9.92,13.26,91.34,18.09,28.67,2,24.8,2.5,13740
W,250x100x22.3,0.223,254,102,5.8,6.9,8,28.56,240,224,0,0,0,0.891,39.73,2901,228.4,264.6,10.06,16.08,122.6,24.03,38.2,2.07,29.01,4.68,18630
W,250x100x25.3,0.253,257,102,6.1,8.4,8,32.34,240,224,0,0,0,0.896,35.3,3430,266.9,307.5,10.3,17.06,149.2,29.25,46.2,2.15,32.27,6.77,22950
W,250x100x28.4,0.284,260,102,6.4,10,8,36.31,240,224,0,0,0,0.901,31.63,3998,307.5,352.9,10.51,18.02,177.5,34.81,54.71,2.21,35.72,9.8,27640
W,250x145x32.7,0.327,258,146,6.1,9.1,8,41.75,240,224,M16,72,76,1.074,32.77,4895,379.4,424.9,10.83,17.19,472.6,64.74,99.48,3.36,33.67,10.05,73100
W,250x145x38.5,0.385,262,147,6.6,11.2,8,49.29,240,224,M16,74,78,1.085,28.04,6014,459.1,514.1,11.05,18.89,593.7,80.77,123.9,3.47,38.37,17.03,93240
W,250x145x44.8,0.448,266,148,7.6,13,8,57.27,240,224,M16,74,78,1.095,24.36,7118,535.2,603,11.14,21.91,703.5,95.06,146.2,3.5,42.99,26.45,112400
W,250x200x49.1,0.491,247,202,7.4,11,13,62.54,225,199,M27,90,112,1.265,25.76,7069,572.4,633.9,10.63,21.77,1513,149.8,228.5,4.92,44.63,24.53,210400
W,250x200x58,0.58,252,203,8,13.5,13,74.26,225,199,M27,90,113,1.278,21.92,8736,693.4,770.8,10.85,24.04,1884,185.6,282.8,5.04,50.23,41.11,267700
W,250x200x67,0.67,257,204,8.9,15.7,13,85.59,225,199,M27,90,114,1.29,19.2,10360,806.6,902,11,27.01,2224,218,332.2,5.1,55.53,62.61,323400
W,250x250x73,0.73,253,254,8.6,14.2,13,92.9,225,199,M27,102,148,1.482,20.33,11290,892.1,986.1,11.02,25.78,3880,305.5,463.3,6.46,52.27,57.94,552900
W,250x250x80,0.8,256,255,9.4,15.6,13,102.1,225,199,M27,102,150,1.491,18.59,12570,982.4,1091,11.1,28.1,4314,338.3,513.3,6.5,55.83,76.15,622900
W,250x250x89,0.89,260,256,10.7,17.3,13,114.1,225,199,M27,104,150,1.5,16.74,14260,1097,1226,11.18,31.84,4841,378.2,574.5,6.51,60.5,104.4,712400
W,250x250x101,1.01,264,257,11.9,19.6,13,128.9,225,199,M27,106,152,1.51,14.92,16380,1241,1398,11.27,35.73,5549,431.9,656.6,6.56,66.37,150.3,828000
W,250x250x115,1.15,269,259,13.5,22.1,13,146.3,225,199,M27,106,154,1.525,13.28,18940,1408,1599,11.38,40.43,6405,494.6,752.8,6.62,72.89,215.3,975300
W,250x250x131,1.31,275,261,15.4,25.1,13,167.1,225,199,M27,108,156,1.541,11.75,22150,1611,1847,11.52,46.39,7446,570.6,869.7,6.68,80.8,315.9,1161000
W,250x250x149,1.49,282,263,17.3,28.4,13,189.8,225,199,M27,110,158,1.559,10.46,25940,1840,2129,11.69,52.63,8622,655.7,1001,6.74,89.3,456.5,1384000
W,250x250x167,1.67,289,265,19.2,31.8,13,213.3,225,199,M27,112,160,1.577,9.421,30020,2078,2427,11.87,59.05,9879,745.6,1139,6.81,98.01,639.3,1631000
W,310x100x21.0,0.21,303,101,5.1,5.7,8,26.93,291.1,275.1,0,0,0,0.986,46.64,3708,244.8,287.1,11.75,16.56,98.31,19.47,31.19,1.91,25.85,3.17,21630
W,310x100x23.8,0.238,305,101,5.6,6.7,8,30.41,291.1,275.1,0,0,0,0.989,41.43,4280,280.7,328.6,11.87,18.3,115.6,22.89,36.7,1.95,28.36,4.5,25590
W,310x100x28.3,0.283,309,102,6,8.9,8,36.18,291.1,275.1,0,0,0,1,35.22,5431,351.5,406.9,12.27,19.89,158.1,30.99,49.15,2.09,33.14,7.72,35440
W,310x100x32.7,0.327,313,102,6.6,10.8,8,41.81,291.1,275.1,0,0,0,1.007,30.68,6507,415.8,480.9,12.47,22.22,191.9,37.62,59.63,2.14,37.57,12.36,43610
W,310x165x38.7,0.387,310,165,5.8,9.7,8,49.41,291.1,275.1,M20,80,84,1.255,32.34,8527,550.1,611.8,13.12,19.64,726.8,88.1,134.8,3.83,34.61,12.76,163700
W,310x165x44.5,0.445,313,166,6.6,11.2,8,56.91,291.1,275.1,M20,80,84,1.263,28.27,9934,634.8,708.3,13.21,22.26,854.7,103,157.8,3.88,38.37,19.3,194400
W,310x165x52,0.52,317,167,7.6,13.2,8,66.72,291.1,275.1,M20,82,86,1.273,24.31,11850,747.7,838.5,13.32,25.81,1026,122.9,188.6,3.92,43.39,31.1,236400
W,310x200x60,0.6,303,203,7.5,13.1,15,75.88,277.1,247.1,M27,90,113,1.377,23.12,12860,848.9,940.7,13.02,27.6,1829,180.2,275.2,4.91,51.27,39.15,383700
W,310x200x67,0.67,306,204,8.5,14.6,15,85.03,277.1,247.1,M27,90,114,1.385,20.75,14510,948.4,1057,13.06,31.08,2069,202.8,310.3,4.93,55.27,54.03,438500
W,310x200x74,0.74,310,205,9.4,16.3,15,94.84,277.1,247.1,M27,90,115,1.395,18.74,16450,1061,1188,13.17,34.43,2344,228.7,350.2,4.97,59.57,74.05,504700
W,310x250x79,0.79,306,254,8.8,14.6,15,100.5,277.1,247.1,M27,90,164,1.585,20.09,17670,1155,1275,13.26,31.95,3990,314.2,477.8,6.3,55.57,65.49,846500
W,310x250x86,0.86,310,254,9.1,16.3,15,110,277.1,247.1,M27,90,164,1.592,18.44,19850,1280,1417,13.43,33.55,4455,350.8,533.1,6.36,59.27,86.96,960000
W,310x310x97,0.97,308,305,9.9,15.4,15,123.3,277.1,247.1,M27,102,200,1.79,18.5,22240,1444,1591,13.43,35.52,7286,477.8,724.7,7.69,58.27,91.5,1559000
W,310x310x107,1.07,311,306,10.9,17,15,136.2,277.1,247.1,M27,104,200,1.798,16.83,24790,1594,1765,13.49,39.08,8123,530.9,805.8,7.72,62.47,122.1,1754000
W,310x310x117,1.17,314,307,11.9,18.7,15,149.7,277.1,247.1,M27,106,202,1.806,15.38,27510,1753,1949,13.56,42.68,9024,587.9,892.8,7.76,66.87,161.1,1966000
W,310x310x129,1.29,318,308,13.1,20.6,15,165.1,277.1,247.1,M27,106,202,1.816,14.01,30770,1935,2164,13.65,47.07,10040,651.9,990.9,7.8,71.87,214.5,2218000
W,310x310x143,1.43,323,309,14,22.9,15,182.3,277.1,247.1,M27,108,204,1.828,12.78,34760,2153,2419,13.81,50.82,11270,729.4,1109,7.86,77.37,288.3,2535000
W,310x310x158,1.58,327,310,15.5,25.1,15,200.5,277.1,247.1,M27,108,204,1.837,11.68,38630,2363,2672,13.88,56.26,12470,804.8,1225,7.89,83.27,380.3,2840000
W,310x310x179,1.79,333,313,18,28.1,15,227.7,277.1,247.1,M27,112,208,1.856,10.39,44530,2675,3053,13.99,65.24,14380,918.7,1401,7.95,91.77,543.7,3338000
W,310x310x202,2.02,341,315,20.1,31.8,15,258,277.1,247.1,M27,114,210,1.876,9.262,51982,3049,3510,14.19,73.62,16590,1053,1608,8.02,101.3,782.7,3959000
W,310x310x226,2.26,348,317,22.1,35.6,15,288.8,277.1,247.1,M27,116,212,1.894,8.354,59560,3423,3975,14.36,81.65,18930,1194,1825,8.1,110.9,1089,4611000
W,310x310x253,2.53,356,319,24.4,39.6,15,322.1,277.1,247.1,M27,118,214,1.913,7.567,68230,3833,4490,14.55,91.01,21460,1346,2059,8.16,121.2,1495,5362000
W,310x310x283,2.83,365,322,26.9,44.1,15,360.4,277.1,247.1,M27,120,216,1.938,6.852,78680,4311,5098,14.78,101.5,24590,1527,2340,8.26,132.7,2062,6317000
W,310x310x313,3.13,374,325,30,48.3,15,399.1,277.1,247.1,M27,124,220,1.962,6.263,89560,4789,5716,14.98,114.1,27700,1705,2617,8.33,144.2,2742,7329000
W,310x310x342,3.42,382,328,32.6,52.6,15,437.2,277.1,247.1,M27,126,222,1.985,5.784,100500,5262,6334,15.16,125.1,31020,1892,2907,8.42,155.4,3552,8392000
W,360x130x32.9,0.329,349,127,5.8,8.5,10,41.7,332,312,M12,62,70,1.177,35.96,8258,473.2,541.5,14.07,22.31,291,45.82,71.8,2.64,34.52,8.65,84110
W,360x130x39.0,0.39,353,128,6.5,10.7,10,49.8,332,312,M12,64,70,1.188,30.38,10230,579.7,661.5,14.33,25.25,375,58.6,91.6,2.74,39.62,15.04,109600
W,360x170x44.6,0.446,352,171,6.9,9.8,10,57.31,332,312,M22,82,84,1.357,30.16,12140,690.1,777,14.57,26.29,817.9,95.66,147.7,3.78,38.18,16.1,239100
W,360x170x51,0.51,355,171,7.2,11.6,10,64.42,332,312,M22,84,84,1.362,26.94,14130,796.3,894.5,14.8,28.04,968.1,113.2,174.4,3.87,42.16,23.92,285000
W,360x170x58,0.58,358,172,7.9,13.1,10,72.13,332,312,M22,84,84,1.371,24.21,16040,896.2,1009,14.91,30.73,1113,129.4,199.5,3.93,45.82,33.46,330400
W,360x200x64,0.64,347,203,7.7,13.5,15,81.38,320,290,M27,90,113,1.465,22.93,17830,1027,1141,14.8,31.66,1885,185.7,284.3,4.81,52.27,43.21,523400
W,360x200x72,0.72,350,204,8.6,15.1,15,91.04,320,290,M27,90,114,1.473,20.61,20100,1149,1282,14.86,35.26,2140,209.8,321.6,4.85,56.37,59.71,599100
W,360x200x79,0.79,354,205,9.4,16.8,15,100.9,320,290,M27,90,115,1.483,18.72,22650,1280,1433,14.98,38.67,2416,235.7,361.6,4.89,60.57,80.72,685700
W,360x250x91,0.91,353,254,9.5,16.4,15,115.7,320,290,M27,90,164,1.677,18.47,26690,1512,1676,15.19,38.83,4483,353,537.8,6.23,59.87,91.18,1269000
